State,Year,Month,Month_Num,Date,Month_Total,Group,Category,Total,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Maxi Cab,847,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Motor Cab,5374,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Bus,1150,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Educational Institution Bus,1997,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Ambulance,394,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Animal Ambulance,1,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Camper Van / Trailer,1,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Cash Van,42,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Fire Tenders,12,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Auxiliary Trailer,1,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Fire Fighting Vehicle,3,
Andhra Pradesh(84),2023,APR,4,2023-04-01,64787,"Transport
8,106",-Trailer (Commercial),672,
Andhra Pradesh(84),2023,APR,4,2023-04-01,64787,"Transport
8,106",-Luxury Cab,4,
Andhra Pradesh(84),2023,APR,4,2023-04-01,64787,"Transport
8,106",-Three Wheeler (Passenger),2429,
Andhra Pradesh(84),2023,APR,4,2023-04-01,64787,"Transport
8,106",-Three Wheeler (Goods),549,
Andhra Pradesh(84),2023,APR,4,2023-04-01,64787,"Transport
8,106",-Goods Carrier,2381,
Andhra Pradesh(84),2023,APR,4,2023-04-01,64787,"Transport
8,106",-Tractor (Commercial),1079,
Andhra Pradesh(84),2023,APR,4,2023-04-01,64787,"Transport
8,106",-Mobile Clinic,260,
Andhra Pradesh(84),2023,APR,4,2023-04-01,64787,"Transport
8,106",-Private Service Vehicle,21,
Andhra Pradesh(84),2023,MAY,5,2023-05-01,73259,"Transport
9,773",-Construction Equipment Vehicle (Commercial),3,
